"ID","Long","Lat","Archip","Island","Area","Dist","SLMP","GMMC","Elev","CC_SED_SSP3","CC_SLR_1m","LU_state_present","BI_state_present","LU_trend_SSP3","BI_trend_SSP3","CC","LU","BI","dominant_th","E"
0,-71.262798,18.911325,"West Indies","Hispaniola",74044.06,715.37,0.367,0,2967,0.174343235462622,0.00206927157626153,0.318081239998104,0.00298228860500952,0.100594732466203,0.100345021299156,0.0911182626177233,0.315697249060052,0.0360917731405312,"LU",0.442907284818307
336,-27.200384,-59.463551,"South Sandwich Islands","Cook Island",19.89,2645.19,0.231,0,984,0.0101798686402707,0,0,0.299530484828033,0.102978723404255,0.0996783836996636,0.00525797155625515,0,0.322338936448915,"BI",0.32759690800517
337,-27.365706,-59.451351,"South Sandwich Islands","Thule Island",17.54,2635.83,0.231,0,618,0.0104685214092574,0,0,0.330232440848052,0.102978723404255,0.0996783836996636,0.00540706267939227,0,0.352041185753108,"BI",0.3574482484325
339,-26.584882,-59.0434,"South Sandwich Islands","Bristol Island",46.24,2681.6,0.235,0,1014,0.0128417194400349,0,0,0.117731290787924,0.102978723404255,0.0996783836996636,0.00663283564210283,0,0,"CC",0.00663283564210283
340,-26.332464,-58.436887,"South Sandwich Islands","Montagu Island",108,2699.86,0.233,0,1328,0.0149471464574959,0,0,0.173281479226262,0.102978723404255,0.0996783836996636,0.007720303050846,0,0,"CC",0.007720303050846
341,-26.447054,-57.78487,"South Sandwich Islands","Saunders Island",37.52,2698.91,0.235,0,908,0.0129277509232824,0,0,0.157783127715372,0.102978723404255,0.0996783836996636,0.00667727148973925,0,0,"CC",0.00667727148973925
342,-26.791099,-57.103897,"South Sandwich Islands","Vindication Island",3.71,2686.12,0.234,0,354,0.0190357387130448,0,0,0.209802746534714,0.102978723404255,0.0996783836996636,0.00983208882573883,0,0.235532882445329,"BI",0.245364971271068
343,-26.682234,-57.077849,"South Sandwich Islands","Candlemas Island",11.41,2693.01,0.234,0,466,0.019054007249004,0,0,0,0.102978723404255,0.0996783836996636,0.00984152464911159,0,0,"CC",0.00984152464911159
344,-27.144821,-56.712365,"South Sandwich Islands","Visokoi Island",28.94,2669.9,0.232,0,923,0.0211465181805224,0,0,0.225031002774862,0.102978723404255,0.0996783836996636,0.0109223208114071,0,0.250265281352359,"BI",0.261187602163766
348,-67.286583,-55.948777,"Patagonic Archipelago","Isla Hornos",28.29,337.41,0.411,1,215,0.0589351393249752,0.0707762557077626,0,0.0330538485400633,0.102978723404255,0.0996783836996636,0.0669968198711623,0,0,"CC",0.0669968198711623
354,-67.417986,-55.888055,"Patagonic Archipelago","Isla Hall",3,326.8,0.441,1,2,0.0601523746661667,0.0897009966777409,0,0,0.102978723404255,0.0996783836996636,0.0774002879583575,0,0,"CC",0.0774002879583575
364,-67.122526,-55.863571,"Patagonic Archipelago","Isla Deceit",40.4,338.57,0.427,1,373,0.0596661267840251,0.0124591750332648,0.00400534045393859,0.0809672686263324,0.102566258557509,0.0995590221787749,0.0372532101191773,0.00359287560719257,0.110777026915706,"BI",0.151623112642076
